Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Issuer
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
,,,,,,,,,ADIN
